Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
1,1300,2500,1800,3400,4200,5500,7000,9100,8900,12500,14900,31800,15200,19900,21900,45600,39500,28300,30500,37400,35100,53700,46300,43600,47100,47500,61700,81800,83600,84000,82900,83000,83900,82800,91000,88500,115000,88700,138000,109200,137500,130000,173300,195800,182400,215500,221100,186400,277900,316800,223700,234000,232800,265900,263200,228200,218600,240600,248500,233300,322300,429800,337000,373500,697700,442700,410600,327900,337200,375300,332100,347300,372200,401400,380100,418200,519700,455300,441800,499300,434400,490700,517700,599900,523100,546000,581500,739800,674500,634300,768600,741400,736800,695500,810000,822100,819600,2.5593e+06,718100,856700
2,500,700,15500,2200,3200,5800,6200,7800,8800,11200,13400,14600,23300,27400,27000,25400,26100,25200,38900,38000,37100,41400,47900,60900,60600,57500,53400,65700,63500,67700,69400,70100,75300,78800,99200,99500,131600,134600,105700,119600,118600,121400,121100,125300,135600,137300,148700,147300,160100,159800,173000,182400,201300,286600,218400,210600,228700,230200,241500,270700,253500,262200,258600,280900,296100,284600,293600,297700,312600,440500,357800,396000,370100,378900,371900,370300,401700,414900,413700,435700,430800,446700,450500,443700,494600,519400,503600,525700,499600,521300,617000,642300,592300,578200,561900,612300,616900,682600,677300,650400
3,300,600,1200,1400,2700,3000,4300,5400,6600,7800,9500,10700,13100,14000,16100,49800,21500,23800,27900,28800,32400,31500,36000,47600,41600,51000,53700,53500,57600,61000,63100,66300,79700,74500,79700,97500,92100,100300,99800,111000,117700,116300,119900,153700,147800,160500,162500,164700,160900,167300,168300,191400,188400,192800,199100,203100,221100,241900,234700,224800,248800,263000,376200,333800,294200,292700,295000,298900,306300,308800,332300,346000,347500,345100,533400,440500,441600,408600,408800,405800,420800,465900,433200,586700,649300,488600,481300,497200,522100,528900,536700,557500,679800,737500,679100,626800,625100,666100,640600,930600
4,300,700,1200,1800,2400,3300,4000,5500,6400,7400,9400,10000,12400,13300,17400,25400,20800,25100,27300,28000,28700,31400,36700,43900,43600,44400,48600,51100,63200,74700,73400,73900,72900,76400,86000,88900,92100,101100,108900,116100,113900,118700,134000,161900,194900,141800,146900,155800,175600,161900,176500,185900,192600,190200,207200,203900,210400,223500,227000,232500,265800,252700,257800,279700,290200,286900,348700,294400,314800,318000,329300,517600,431300,410900,402400,396500,391600,402300,424800,398800,421800,438000,466900,468400,486300,480500,523600,607600,560900,539400,633200,560600,580300,653500,572500,589200,582000,610300,647000,651600
5,300,600,1200,2000,2300,3500,4400,4900,6700,8400,9800,10600,13300,15100,16800,19500,22600,25000,27200,30600,33700,36800,38000,41400,45600,49000,52500,61700,57100,62900,69800,70000,76100,82700,80100,89200,91600,95200,104900,105100,117300,119000,128400,129500,131500,135700,147800,160100,159700,168700,177000,180300,190300,188000,209100,212800,222100,222100,222600,237700,267000,272300,289200,378200,295600,292900,290200,297800,310000,322800,339300,356400,360600,376600,369400,389500,398700,400300,410100,417500,436500,455600,455800,528000,504200,457400,491100,499600,506200,559800,518600,577900,564800,570600,561700,576000,589400,637100,640800,663600
6,300,700,1100,1800,2500,3400,4300,6000,8100,8400,12500,12400,14100,16300,17900,18200,23000,24500,23600,28700,29700,34200,35800,40700,46300,47000,54900,53700,56900,58000,67300,79300,72500,86100,84200,95500,93000,97900,105900,103200,113400,115100,120700,136500,123000,147500,143300,139900,158100,161600,176000,405200,193400,296900,224600,219400,219500,222400,247400,252500,239600,260000,265800,284400,275500,313700,297400,313700,316300,305600,315900,336500,342400,349500,369300,375300,387000,427400,433000,436500,453900,468300,471000,470300,481100,498600,473200,497600,512900,526100,536300,542900,585800,568800,597700,584600,684000,661900,669800,650400
7,400,900,1300,1900,2500,3400,4600,5600,6500,8400,9800,9700,12600,14600,16100,18200,21300,32300,25700,29100,29600,38500,37800,42700,60500,50100,50700,54100,64300,65300,67200,70300,76800,79600,85700,90300,98700,96200,123400,125700,131900,116300,125600,129800,136700,146400,170900,173700,186000,177300,204500,185800,178500,196100,203300,216800,223100,215600,229600,235200,248500,260900,277400,281300,276600,287000,293000,304200,308500,341100,326000,349300,347700,374000,381200,370100,419300,441000,430600,423500,422600,431700,456300,468600,469700,501500,501700,512800,522500,530600,553300,718300,576200,583300,579000,590600,685500,686900,658300,665800
8,200,600,1200,1600,2400,3500,4300,5700,6100,7700,8400,11700,12100,14200,16800,17100,21200,21200,26000,25500,35000,32800,36800,37900,44200,102200,52900,59700,62400,64800,66900,69600,77800,78900,87000,89000,89300,101400,101500,103000,115300,123900,127600,125000,206200,136800,145400,151700,160000,162000,172800,176900,187800,195400,207100,204300,208300,219800,232100,243800,236300,242400,266000,1.2081e+06,286800,290700,308700,305500,304900,333100,409900,371500,373500,381300,370800,388200,376500,397200,399700,424700,440800,519300,472200,458700,481800,491700,498400,518400,495700,598200,623000,572800,715600,608500,572300,608700,611400,625300,630400,660400
9,300,600,1100,1600,2300,3300,4100,5100,7500,8400,9100,11500,12300,14200,17000,18100,22700,22300,26200,28500,32000,38200,37200,52000,43200,47400,52800,55600,56200,63600,74200,71500,76100,74700,90100,85700,91500,101000,107500,128200,119600,115400,130100,133400,137100,139300,146600,160000,156500,168500,172800,181500,184800,191900,212900,207300,203600,222900,243800,227900,259600,274300,269900,281000,280500,276200,294200,304600,304900,423700,338800,344900,352700,376600,363900,386000,393700,406300,400500,404700,440800,445800,452800,457000,484200,484100,607100,511600,493100,523500,543100,532000,568100,588300,583100,612400,616100,635900,628700,644700
10,300,600,1100,1600,2400,3200,3800,6700,7300,9000,11600,14100,14700,15400,16700,19700,20700,29000,24300,28300,31600,34000,43400,38600,44100,47200,51300,57700,59700,63700,62800,64800,70500,82600,82600,90700,92700,97000,111800,105300,107300,123600,110400,127900,134700,134600,149400,156800,165500,164400,177300,170700,181000,191200,219300,208600,231600,229500,238900,373800,249600,254900,289400,296400,272800,262800,282800,304100,330600,320700,327100,344600,354500,360700,364600,377500,395200,392600,413500,499700,471900,634300,486400,485600,465700,480700,495400,514400,546000,519200,547100,552000,556200,598800,607200,607500,615700,896700,905900,687900
