Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
1,1800,11300,6800,28900,17700,18700,26300,32100,59100,49100,55400,69900,82100,96500,115500,181700,208300,250000,258900,294800,312000,410100,433200,478400,471900,299000,581500,748900,804400,896000,869200,910300,485300,754200,880800,1.1202e+06,1.214e+06,947500,1.0672e+06,1.4382e+06,1.1381e+06,1.2635e+06,789000,959100,882700,934700,1.241e+06,1.0305e+06,1.6742e+06,1.8309e+06,2.1541e+06,1.56e+06,1.1156e+06,1.3467e+06,1.6991e+06,2.1033e+06,2.2558e+06,1.7282e+06,1.5776e+06,2.2882e+06,3.5885e+06,1.8908e+06,2.0892e+06,3.8897e+06,3.7393e+06,3.8996e+06,2.6101e+06,3.0809e+06,3.2116e+06,2.9502e+06,2.1902e+06,2.3225e+06,2.2259e+06,3.2467e+06,3.7757e+06,4.2199e+06,3.5671e+06,5.392e+06,3.0415e+06,3.2403e+06,3.0291e+06,2.9322e+06,2.9929e+06,3.3558e+06,5.0065e+06,4.3653e+06,3.9701e+06,4.735e+06,4.262e+06,4.5857e+06,4.7584e+06,5.0047e+06,4.9569e+06,5.6496e+06,4.9531e+06,4.5667e+06,5.2889e+06,5.3874e+06,6.5117e+06,6.1062e+06
2,1200,3900,8200,13700,20000,27400,33200,67300,38700,77100,71700,88700,100100,120700,147900,134500,212000,155100,165000,199100,200900,214500,258100,267700,291600,296100,436300,463400,462200,570500,419300,473600,490900,547800,551400,562800,595700,633100,672000,950900,709100,838400,793700,868000,908300,924000,986300,1.0475e+06,1.0677e+06,1.0852e+06,1.1556e+06,1.173e+06,1.8387e+06,1.9928e+06,2.3382e+06,2.6725e+06,2.9992e+06,1.9495e+06,2.009e+06,1.9178e+06,1.9319e+06,2.7987e+06,2.2795e+06,3.6935e+06,3.782e+06,3.8953e+06,3.9578e+06,4.0072e+06,3.4307e+06,2.2767e+06,2.2328e+06,3.5582e+06,4.2805e+06,4.9005e+06,2.9293e+06,3.424e+06,3.3483e+06,3.4676e+06,5.5827e+06,5.6756e+06,5.0145e+06,6.0634e+06,4.9689e+06,4.0671e+06,4.1259e+06,4.67e+06,4.3319e+06,4.6532e+06,7.007e+06,6.168e+06,3.8323e+06,7.3491e+06,5.0768e+06,5.0491e+06,6.5431e+06,6.4442e+06,6.0512e+06,4.1262e+06,7.2655e+06,5.8321e+06
3,1200,3100,5500,8400,24300,34800,48700,77800,69300,80600,102700,101000,153300,97400,122100,120200,143300,158900,179200,186500,208600,217000,264100,278700,283200,307200,324800,355800,377400,408300,421200,460000,500000,508400,531400,569400,583500,605400,854500,1.0777e+06,1.1381e+06,1.2329e+06,1.2804e+06,1.288e+06,864700,951500,986600,1.2514e+06,1.3244e+06,1.1452e+06,1.1502e+06,1.18e+06,1.4027e+06,1.4378e+06,1.6462e+06,1.8588e+06,2.8428e+06,2.9789e+06,2.1026e+06,2.0834e+06,3.2579e+06,3.3845e+06,3.4598e+06,3.5821e+06,3.7459e+06,4.0147e+06,2.5404e+06,2.6271e+06,2.7413e+06,2.2101e+06,2.9424e+06,2.9727e+06,3.0987e+06,4.8587e+06,4.9686e+06,3.5556e+06,3.4104e+06,3.3637e+06,3.7743e+06,3.6525e+06,3.4646e+06,3.6371e+06,3.6453e+06,3.6042e+06,4.2377e+06,4.2628e+06,4.321e+06,4.5396e+06,4.4645e+06,4.6397e+06,4.7524e+06,4.8094e+06,5.2712e+06,4.8982e+06,3.9054e+06,5.8541e+06,5.2444e+06,4.0322e+06,4.2636e+06,4.4601e+06
4,1100,3400,5600,9300,20800,37800,55000,78300,105400,116700,123000,144300,177200,108400,113100,131200,156400,154300,173000,193800,219400,223800,246500,256300,322400,291100,441700,480000,514900,480900,535800,560000,595300,547400,552100,583800,586800,646500,667800,711600,746000,882900,844300,985600,922800,953000,917500,983900,1.56e+06,1.2799e+06,1.2705e+06,1.118e+06,2.0214e+06,1.2915e+06,1.6073e+06,1.342e+06,1.4022e+06,1.3885e+06,1.3561e+06,1.4573e+06,1.9979e+06,1.8676e+06,1.7237e+06,1.7578e+06,1.976e+06,2.0742e+06,2.9026e+06,2.6899e+06,2.6649e+06,2.2754e+06,2.854e+06,4.8354e+06,2.2979e+06,2.3224e+06,2.0227e+06,3.1733e+06,2.7697e+06,3.8178e+06,2.6289e+06,3.5478e+06,3.8103e+06,4.0796e+06,3.9464e+06,4.1516e+06,3.7239e+06,4.1396e+06,4.0651e+06,3.226e+06,4.3581e+06,4.3103e+06,4.6739e+06,4.7547e+06,5.1211e+06,6.8973e+06,5.3722e+06,5.3327e+06,5.5497e+06,5.4669e+06,6.7098e+06,5.7886e+06
5,1500,4300,7800,13200,19800,26200,72300,48900,40000,46000,61500,70100,81900,82800,95100,144900,141300,156600,179300,184100,196300,219800,319700,267900,294600,439900,542500,548700,600800,687500,428900,451200,467600,520800,502500,552400,607200,656000,655400,696100,758700,796600,812800,872700,833000,947100,1.0025e+06,1.0184e+06,1.072e+06,1.1346e+06,1.1237e+06,1.1957e+06,1.2413e+06,1.2676e+06,1.3598e+06,1.3452e+06,1.5376e+06,1.8626e+06,1.7063e+06,1.9993e+06,2.0583e+06,2.0898e+06,2.2576e+06,2.3019e+06,2.3542e+06,2.4183e+06,2.4936e+06,2.727e+06,2.3339e+06,2.6331e+06,2.959e+06,3.0321e+06,2.982e+06,3.0708e+06,3.1162e+06,3.181e+06,3.3059e+06,3.2933e+06,3.6354e+06,3.4055e+06,3.5704e+06,4.0593e+06,3.7517e+06,3.8919e+06,4.055e+06,4.343e+06,4.1366e+06,4.4413e+06,4.3116e+06,4.5114e+06,4.6093e+06,4.471e+06,4.8491e+06,5.5484e+06,4.8661e+06,4.8922e+06,5.0272e+06,5.18e+06,5.8316e+06,5.2953e+06
6,1100,3200,8300,11700,24600,19700,25600,33100,42700,51300,62300,71600,90000,100300,116700,125800,139600,158200,172400,185300,208300,220900,239600,263500,291000,317100,323900,500400,458900,663700,427900,477900,479400,493500,537900,584100,623000,630400,654300,703200,746500,799100,822800,858100,897400,942200,984500,1.0256e+06,1.0485e+06,1.1117e+06,1.1542e+06,1.178e+06,1.2021e+06,1.2715e+06,1.3623e+06,1.3576e+06,1.3743e+06,1.4309e+06,1.5065e+06,1.6106e+06,1.6486e+06,1.7065e+06,1.7506e+06,1.7999e+06,1.8507e+06,1.8808e+06,2.252e+06,2.3828e+06,2.5291e+06,2.7621e+06,2.7024e+06,2.7339e+06,2.8973e+06,3.1555e+06,3.161e+06,3.0521e+06,4.3171e+06,3.5335e+06,3.5614e+06,3.5778e+06,3.6265e+06,3.8825e+06,3.7024e+06,4.2087e+06,3.3457e+06,3.3068e+06,4.0127e+06,4.1739e+06,4.38e+06,4.3922e+06,4.4554e+06,4.8618e+06,4.6754e+06,4.8394e+06,5.0891e+06,5.0509e+06,5.0938e+06,5.2269e+06,5.3677e+06,5.5607e+06
7,1000,3300,5900,9700,15100,20700,27300,36100,42500,58600,62000,75900,86200,98000,106600,124200,140700,154200,174300,211700,217600,245900,234000,269500,289700,312500,337100,355300,387800,382900,426700,451200,468100,543600,532600,562100,610000,649000,691700,734400,724400,736200,801100,841600,838300,922500,955400,1.0186e+06,1.0516e+06,1.0584e+06,1.1646e+06,1.2569e+06,1.4148e+06,1.5655e+06,1.3474e+06,1.446e+06,1.5668e+06,1.6384e+06,1.6457e+06,1.6835e+06,1.8539e+06,1.7038e+06,1.7758e+06,1.7985e+06,1.8298e+06,1.9447e+06,2.0054e+06,2.3057e+06,2.4917e+06,2.5387e+06,2.6386e+06,2.3228e+06,2.8129e+06,2.9636e+06,3.02e+06,3.2102e+06,3.2307e+06,3.1462e+06,3.4839e+06,3.3317e+06,3.5402e+06,3.5986e+06,3.7518e+06,3.8596e+06,3.9599e+06,3.7728e+06,4.0918e+06,3.8128e+06,4.2242e+06,4.4112e+06,4.7665e+06,4.5868e+06,4.5946e+06,4.8663e+06,4.9392e+06,4.9701e+06,5.2385e+06,5.2199e+06,5.7736e+06,5.5031e+06
8,1400,5000,10300,12900,20200,28400,38800,48600,55300,66200,93600,95500,115200,127700,148700,158000,182100,189200,221700,231800,259800,283500,308600,335200,353900,404400,417200,423600,484800,377500,428800,468800,485100,510300,550100,571200,597800,641400,672100,711800,735600,767200,813100,841700,894100,931700,993200,1.027e+06,1.0497e+06,1.0888e+06,1.1297e+06,1.1958e+06,1.2375e+06,1.3759e+06,1.3345e+06,1.3748e+06,1.3706e+06,1.4318e+06,1.5376e+06,1.607e+06,1.6301e+06,1.8999e+06,2.1854e+06,2.2386e+06,2.1752e+06,2.2626e+06,2.3811e+06,2.398e+06,2.6757e+06,2.7311e+06,2.7836e+06,3.1211e+06,2.9563e+06,3.0949e+06,3.166e+06,3.1705e+06,3.2745e+06,3.7165e+06,3.7224e+06,3.724e+06,3.7705e+06,4.0396e+06,3.949e+06,4.108e+06,4.2536e+06,4.1406e+06,4.2096e+06,4.3434e+06,4.3715e+06,4.4535e+06,4.4871e+06,4.7124e+06,5.2548e+06,4.8515e+06,4.9429e+06,5.4489e+06,5.1626e+06,5.3445e+06,5.4712e+06,5.4378e+06
9,1800,3800,7800,11600,17600,19400,27400,34800,42500,50100,63000,70200,104400,95500,115300,129300,149500,154700,171600,195300,215600,215300,247000,259600,266300,290500,322800,349600,366500,389200,430600,441900,500000,516000,559300,592000,631000,641500,679400,676100,754100,784400,811500,827000,896400,908600,957100,1.0352e+06,1.0635e+06,1.0878e+06,1.1712e+06,1.2326e+06,1.2556e+06,1.2604e+06,1.3246e+06,1.3609e+06,1.3798e+06,1.4851e+06,1.8044e+06,2.9969e+06,1.8473e+06,1.6871e+06,1.7289e+06,1.8098e+06,1.8799e+06,2.3001e+06,1.9656e+06,2.934e+06,2.6726e+06,2.725e+06,2.8127e+06,2.9664e+06,2.9939e+06,3.1759e+06,3.1029e+06,3.2328e+06,3.3309e+06,3.3197e+06,3.446e+06,3.5058e+06,3.7145e+06,3.6495e+06,3.8238e+06,3.846e+06,4.0557e+06,4.103e+06,4.1878e+06,4.3345e+06,4.3991e+06,4.3312e+06,4.1669e+06,4.6414e+06,4.6861e+06,4.6139e+06,4.7422e+06,4.7905e+06,5.8043e+06,5.4045e+06,5.8455e+06,5.4782e+06
10,1700,4100,7900,12400,17700,26400,35800,45300,56700,71000,86300,97700,112600,118800,143500,161300,173300,195400,212700,248100,297800,287800,225800,253500,282400,292100,332400,354800,360800,394200,415500,422200,474600,493000,529200,547300,706000,603600,920400,958900,1.0109e+06,1.0363e+06,1.076e+06,1.1178e+06,1.1076e+06,1.2322e+06,1.2815e+06,1.3403e+06,1.4617e+06,1.1174e+06,1.1621e+06,1.3385e+06,1.2623e+06,1.2819e+06,1.3095e+06,1.3877e+06,1.425e+06,1.7257e+06,1.8255e+06,1.9126e+06,1.9461e+06,2.0124e+06,1.6649e+06,2.0761e+06,2.3463e+06,2.3991e+06,2.7305e+06,2.8582e+06,2.5846e+06,2.7948e+06,2.9883e+06,3.0888e+06,3.1255e+06,3.2004e+06,3.2252e+06,3.4276e+06,3.4825e+06,3.6626e+06,3.6485e+06,3.7304e+06,3.6542e+06,3.7302e+06,3.8665e+06,4.0526e+06,4.2261e+06,4.0725e+06,4.2776e+06,4.5385e+06,4.937e+06,4.7835e+06,4.4472e+06,4.7033e+06,4.7707e+06,4.9238e+06,4.9006e+06,5.0831e+06,5.2506e+06,5.3088e+06,5.3762e+06,5.5839e+06
