Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
1,1400,3900,4400,7400,11800,8100,16700,11800,17000,15300,24800,18500,23000,24700,22800,46300,55900,70400,64400,62300,38500,33500,37000,57800,41800,47200,34800,49600,53500,58600,54900,62600,74500,67600,55400,74600,68900,62900,63900,77500,71700,85700,93100,92700,94200,102700,94100,91300,94800,100600,106600,110200,114200,117900,111600,116400,126100,196200,145300,136100,131500,139300,138800,157900,130600,139100,139600,166100,143700,138000,180000,146000,175600,151800,191900,157100,164500,189200,205600,202800,175200,178200,167400,222100,327300,135000,196800,196500,201700,209200,217000,228700,204400,211900,218200,225600,242900,223400,224700,255000
2,1000,2400,3300,5400,6800,8400,10000,12400,14200,15700,19200,20200,24300,24800,25800,24700,36900,33900,34600,36800,31400,41900,42500,51300,49900,48900,52900,65000,55100,73500,58500,87800,71400,69700,82600,65000,66300,78000,90700,81700,83600,84900,90700,85600,102600,94800,95500,117600,116300,106600,107900,112200,123900,118200,110000,112800,130800,84400,127100,150500,139000,140600,153100,145600,136300,161100,154200,156800,193600,172200,162800,174100,166900,185000,162200,171300,189300,162500,188800,185500,203200,211500,205900,178100,209700,189400,203300,204000,193700,197800,227000,198900,236800,357500,238000,239300,219300,221400,219700,260300
3,1200,2500,3600,5100,6600,8700,13800,13400,15400,15500,29000,36100,29400,24000,31100,27800,30400,33900,34900,37500,38400,41000,41800,45100,61500,67400,51900,83200,61100,72900,90000,69700,84100,97200,156600,117200,90400,85400,82700,83400,154100,87400,91200,89100,93000,95300,113800,102700,125400,99600,106300,109100,115800,109000,134100,122900,125100,167200,133000,231000,163400,147000,144200,149800,150300,134300,130300,143800,154800,161600,171900,173300,172200,157600,197500,176100,340800,329800,320600,338500,329400,343800,189800,205500,221000,210500,219600,217400,227800,224400,196000,230200,228900,235200,236300,242100,243700,247100,277700,342100
4,1600,3500,6500,9700,7000,10700,12800,36100,16000,16600,16400,24900,14700,20700,21100,26500,26900,33300,31000,50800,33200,36800,63600,54100,48000,57200,50700,54100,55600,60200,63800,72900,68300,67600,69500,69600,124500,123700,131500,150700,139300,150300,182300,141800,144800,162700,164600,161000,178400,161900,192800,181200,171400,176500,121900,187300,209900,215100,205700,210500,223900,212200,170100,221400,240700,214700,145100,218700,140800,163700,221200,172200,172600,192100,179900,183700,194900,170100,201400,195400,206200,221800,200600,206100,210100,223400,218400,225100,193900,579700,211000,354900,367700,345500,349100,374000,380300,373600,377300,403800
5,3600,2700,6000,6800,7000,13900,10900,18700,13200,24300,23600,22600,23000,29800,35200,46500,39500,32900,33000,39100,36700,63900,47800,47600,62100,48600,49700,62500,49500,103000,101000,69400,59800,90400,71200,109800,111800,109500,109400,138200,146800,137100,154300,189700,151400,160400,167400,184400,190700,159500,159600,169100,184700,184900,148200,124500,128800,130900,223300,227700,124000,193100,215900,231400,223600,244600,235800,268300,142600,259200,247600,252400,187500,274900,275600,285900,283100,282400,293800,285700,355400,269800,228800,212000,198900,213100,232200,232800,243200,228300,249600,376200,203400,226200,223100,245100,233000,236400,235400,220300
6,1100,2400,3400,5200,11800,8700,6200,9200,14400,16500,18800,20100,16900,21600,43300,42700,60900,53000,59400,70700,70900,34600,54700,72600,55100,53800,83300,90100,88900,92400,99400,102500,101300,111100,110700,115900,123400,121400,118800,142100,156200,136100,137300,155600,142000,134300,102600,151700,100700,90400,104200,110200,122400,111800,107400,107100,120100,129000,130400,129100,135000,142800,136700,136500,122600,157800,141900,125700,149300,162200,159600,156300,154600,146300,181000,290100,282400,291000,293500,284400,312300,291700,320900,206100,207600,193300,210600,208500,200500,214800,229100,206500,233700,227500,245000,217100,265200,244500,253300,298500
7,1300,7600,3800,7900,7100,5100,9500,13500,18700,16300,22400,28000,36700,20400,31600,45100,31300,32600,71800,34700,42000,85400,68900,47700,49400,49000,56200,81800,66600,55700,84900,63700,61000,60900,122000,115800,77800,121600,91600,121900,87500,86700,91100,91500,65200,87500,93900,89300,109100,115400,171400,250000,120900,139500,176300,218700,135100,182100,121100,129900,146500,127400,144500,153300,136100,111800,168800,156400,142100,168200,186700,280900,175200,160400,202600,181400,194000,183100,220400,278900,296200,178400,195600,549800,225000,210400,314600,407500,342200,388100,386200,425600,427400,409900,196700,261600,237500,209500,239800,211400
8,2000,2900,5800,7800,8800,34400,18700,19800,25300,29900,16300,18300,16000,15800,16700,23300,20800,29000,29100,29300,49900,50300,45300,42700,75700,79200,80900,87200,89600,91200,95600,96700,99700,104300,106400,111800,112700,117500,124700,153800,131800,138000,148700,142200,146400,70200,66700,200200,164900,105300,112500,124900,176500,191600,124800,111200,79400,142600,150800,185000,138700,129300,127700,158100,155800,133300,176300,157800,144700,148600,190300,167400,257400,118600,181200,167200,167800,187700,293400,265800,287800,321700,307800,291100,311500,307500,364800,458800,359200,229100,253100,201300,204200,241400,225200,219000,271300,228100,206500,277500
9,1800,1900,5600,5100,10700,7600,11100,20200,46500,32700,36200,29900,24400,28000,39100,25600,48900,31300,36000,34400,42500,37500,39600,47800,41400,45700,47100,54100,67400,55000,55200,46400,67800,63000,58200,69900,74300,67800,123900,88400,82900,83000,83500,81600,100800,116900,87100,167400,123300,112900,107900,125500,125100,118000,121900,114600,159600,128700,130600,144300,138800,141000,124100,283900,208200,234500,95500,147000,184700,139000,115600,167900,284500,202000,204400,155400,166400,283400,193400,192100,212800,182600,244600,215700,191500,204500,182300,193600,199300,207900,249400,169400,237400,221100,234300,255700,262800,244700,258200,396500
10,1800,6100,5900,9700,7800,13400,10000,12200,12700,18400,17100,37000,15400,14400,21300,27800,30000,55300,33800,30200,34000,37400,44500,42500,43400,43000,59800,76100,63200,97500,61500,72600,73300,78900,90100,69100,55400,87900,72100,85700,81000,70100,95400,116400,92500,159200,96000,104000,120900,103200,103200,119700,107800,112200,127400,120900,105700,78700,118300,150000,118500,129300,137400,146200,148000,138800,238000,145200,158100,111300,189900,322900,200200,170500,223600,217300,201100,280900,216900,147600,297600,206200,201100,179800,203100,211600,195000,167300,215600,218400,235500,231600,187400,242300,234200,235800,168000,242600,239100,247800
