Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
1,900,1500,2200,3000,10800,4600,7800,17200,10700,11400,10100,10800,22600,14600,15000,18000,17200,17400,17200,67600,29300,26200,27300,29200,314500,33800,33300,35300,37300,37700,35800,45900,58000,57800,40600,52900,50300,49100,63800,44000,55200,82200,64700,62900,70600,94200,61400,89900,92100,66500,67900,93600,108900,86500,82200,105600,83100,76100,124200,70300,135800,120300,135400,203900,122200,111400,150900,81300,140900,119900,116400,158000,129300,113500,381600,118000,200100,147800,161800,188400,140100,156100,169200,199900,204100,199500,206500,209000,228000,246300,168500,245300,150100,131700,183000,167800,305800,180500,255700,268900
2,1000,2500,3300,4800,5900,7800,17600,17100,18400,14600,13500,12600,21600,30500,23600,26300,26300,21600,22900,21200,32800,75500,66500,26600,39000,33700,48400,33000,61100,45900,42800,80400,66200,51100,59200,49400,53200,45200,62700,61600,52900,116200,58500,60700,66800,63500,87100,71200,58200,160900,86300,92900,72700,89400,104000,105900,103200,111200,108100,114700,116300,112700,134700,223200,144700,105100,118100,134300,99400,144300,132700,159300,145300,169700,134500,101000,130300,222800,156800,200400,193000,202400,208800,188500,125600,176100,180500,176100,176700,158100,206400,186400,148100,232700,147500,193200,238600,142400,134800,143700
3,700,2000,3500,5400,4800,5900,9800,13000,8200,9100,9700,16300,26400,27200,17800,26100,29300,29200,32900,34300,37500,38800,25000,46100,45100,64600,33300,30400,33400,33800,35500,52800,50200,65000,58600,71800,56900,67600,66200,87700,84400,85600,65200,74900,59300,93800,88200,102100,103600,81600,74800,103000,79300,78900,137900,118800,98700,114800,77000,113000,104700,123300,139300,148200,93700,74700,152600,130800,141300,149100,179300,143100,140400,137600,139100,146100,169300,332300,119800,197600,110800,158700,147900,191400,192700,172400,195100,187800,195900,187000,184600,208400,198700,199800,189800,223000,232100,224500,197200,164500
4,800,1300,3300,8200,7300,12700,6100,9900,30300,11000,10700,16600,20400,34400,21500,25800,25400,26300,26600,32100,21000,26500,32900,28300,28600,29900,36400,62300,37400,35600,36300,35600,76900,42100,87300,80200,71400,77200,95800,86200,84000,86400,96700,48200,63400,100400,67500,89700,83200,101900,77400,119200,160000,103900,120700,106500,121400,71700,76700,88100,107800,70100,122100,126500,131100,107400,115300,102800,110000,169500,103500,98100,100600,105200,165300,101600,147400,124000,267800,144500,178100,127800,134100,205900,133700,134200,133300,121900,111800,212100,153500,236900,147400,213500,217500,149400,163800,161900,231000,153800
5,10200,1600,5900,5700,7500,17300,13300,12500,13200,13800,15600,18400,36900,13100,18000,16000,17800,19000,20400,31000,32100,33800,39500,39000,42600,45100,46900,51700,51700,55400,39500,52700,40700,39300,67500,101500,75200,87000,50900,68300,49200,72900,73900,59800,81400,66600,100800,94700,107500,97600,75600,81200,70200,98300,102700,105100,132800,102700,79000,170600,77100,82600,110700,135300,113100,106400,90500,89100,121900,161600,95200,144400,148800,108700,109200,101500,112400,117500,185100,207700,113000,193300,198600,200700,166900,128900,173300,226000,171800,168900,181200,171500,219400,235600,222100,162100,177200,151100,127200,156500
6,800,1400,3500,4600,6300,6700,8000,16400,9400,11200,10300,19000,21300,21800,25400,16100,32900,31500,32200,35500,35200,38100,29800,31100,24500,32100,54400,32400,42600,36500,45900,71100,68200,78900,66400,71200,51700,47400,81600,46100,86600,61200,65200,103200,67400,73700,50500,75600,101400,61000,74600,118400,89000,95600,71000,75000,85600,131600,110000,112600,137000,163500,139800,171300,159500,113300,92200,124700,92000,120600,159500,133400,94400,120100,165900,118900,135900,162600,194500,194100,213300,147700,151500,175800,105500,160400,125600,140800,134000,167800,152000,183900,151300,144100,176100,244500,171700,169300,134800,244200
7,700,3700,6000,5100,3400,5300,6500,8500,7900,14900,16400,18400,13600,15900,12500,25600,16400,15800,18700,64800,38800,29600,32000,33500,31500,47400,32600,32700,48300,40600,59000,68500,45800,51700,56500,53000,99600,48900,54300,52600,62500,107400,86900,61700,97500,94000,107100,100300,107900,109800,129800,120900,129200,71000,74600,86500,71700,123200,134200,112300,81200,78000,139300,104300,88200,118700,151700,126000,144800,127500,136900,176600,152300,142700,147000,156200,214600,111900,136800,121500,150300,164600,161100,122400,124300,123500,200000,218500,179100,171200,160800,229900,152600,139300,143400,127000,203300,150100,137500,219500
8,900,1700,2900,3700,4600,6600,9200,10600,7300,9100,10400,14100,49000,17900,25700,16100,19900,17600,43600,46100,34100,45500,23200,26600,46400,33700,29700,29000,33700,33500,59700,83700,65700,67300,71600,68300,88100,78800,43300,46500,48700,51200,51300,53200,70800,73300,95500,100900,116900,102300,107500,115400,131200,123600,117200,131800,125300,119200,132800,119500,117200,115700,122900,140000,140700,129100,132400,143100,132600,135100,135900,143100,93800,112900,109800,125400,140800,113000,97800,123800,114800,206000,194800,213700,196600,211000,207600,226000,212100,231000,219200,212300,230300,229700,227200,182300,194800,182600,232800,239600
9,900,1900,3000,5100,6500,7000,9600,11100,12000,14900,15800,18500,22700,21900,22900,28400,29200,30400,32100,37800,23600,36000,41600,43500,43600,48900,57700,53100,44800,60600,54400,35700,40800,41700,39900,54600,59400,60400,68300,68800,52000,71500,64800,74500,94000,54600,51800,85100,77700,83100,86300,65600,97200,101600,83200,100400,74200,78400,79200,112400,80700,70400,116800,82900,118400,119300,99400,107200,133300,105500,117100,113800,97400,111100,99200,153500,171000,173300,185200,122600,185800,193100,194900,192000,202500,198800,215200,205500,212700,220100,196000,135700,129100,144400,204100,444900,232600,206500,192900,144000
10,600,1400,3100,2900,3900,3900,7000,12000,7500,14500,17200,18600,22800,23000,24900,30200,41800,31200,33000,36400,65200,44600,56200,24800,46200,62100,51200,51400,53600,57100,40000,47900,39700,69500,75400,71600,53000,61200,60900,53500,100000,84500,85600,93700,96300,97000,101500,101200,102500,145000,75800,75500,139500,121600,118300,126500,123100,93200,149000,153100,153000,157400,137200,156600,164300,159000,120800,123200,134600,123000,138100,133600,129400,93400,158700,127800,144700,155100,186600,112900,140000,147000,159700,126700,112700,147600,232700,226800,212500,227400,157200,220400,218800,230400,232100,233700,224900,235000,249100,271500
