Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
1,1600,2600,3800,6600,8000,12700,13100,24400,29400,24300,36900,34500,38900,82100,57200,64400,194900,96100,156400,256600,333100,126800,221300,184200,123700,132000,145300,233300,268200,226600,261500,419900,349700,242700,318500,276100,336200,252600,371500,317000,329400,340900,487700,363300,336000,386800,454200,629500,694100,494700,469200,526000,635100,677100,747500,705600,825700,602500,675800,744400,1.0812e+06,980300,947100,844500,1.2927e+06,891400,1.2202e+06,917800,1.2145e+06,1.3208e+06,1.1553e+06,1.182e+06,1.2136e+06,1.2434e+06,1.0785e+06,1.1828e+06,1.524e+06,1.2854e+06,1.5262e+06,1.4327e+06,1.47e+06,1.5204e+06,1.5674e+06,1.792e+06,1.8104e+06,1.7864e+06,1.9166e+06,1.7508e+06,1.7868e+06,1.8217e+06,1.8937e+06,2.5701e+06,1.9295e+06,2.2714e+06,2.2575e+06,2.2692e+06,2.5138e+06,2.5285e+06,2.4699e+06,3.4016e+06
2,1800,2600,4300,6900,11600,20200,24500,28700,37700,43400,49800,58100,67300,77000,60900,67200,142200,74800,92100,100900,111000,124000,111600,108600,215600,128600,137900,235500,205700,229800,233000,255500,261300,287600,291800,317000,463000,486900,515900,534300,558000,670100,705200,644400,670100,499800,437400,563600,565400,565700,599400,692200,642900,670300,710100,726000,890400,775200,798700,955400,904600,785400,1.3198e+06,944000,1.532e+06,1.6546e+06,1.6249e+06,1.7828e+06,866600,1.0578e+06,968100,1.7511e+06,1.8478e+06,1.7833e+06,2.0463e+06,1.9007e+06,2.267e+06,2.358e+06,2.1983e+06,2.1503e+06,1.6885e+06,2.0619e+06,2.6848e+06,2.9254e+06,3.4382e+06,2.3609e+06,2.4451e+06,2.8441e+06,3.0514e+06,2.7781e+06,2.7446e+06,2.8199e+06,2.794e+06,2.8863e+06,3.3224e+06,3.084e+06,2.8843e+06,2.7435e+06,3.0387e+06,2.8562e+06
3,1500,1900,5300,5500,7800,13600,16000,24000,18400,29900,34400,57300,66800,107400,61600,68800,75800,83800,105100,100100,109000,121600,130900,142700,148300,166600,168400,189400,202900,208800,229700,292500,260600,316600,301400,305500,351600,337700,355500,382900,445300,516000,528900,542600,341600,417000,534400,542500,583100,380700,616000,626500,651800,677700,692500,725800,755000,770700,795400,831700,848500,886300,879600,984000,974500,989800,1.0535e+06,1.0554e+06,1.0868e+06,1.1153e+06,1.1593e+06,1.5161e+06,1.5815e+06,1.6051e+06,1.6362e+06,1.7765e+06,1.7557e+06,1.768e+06,1.8833e+06,1.8953e+06,1.6736e+06,1.5166e+06,1.7384e+06,1.5884e+06,1.6241e+06,1.72e+06,1.7024e+06,1.7381e+06,1.7788e+06,1.8508e+06,1.9041e+06,2.0496e+06,2.5387e+06,2.3198e+06,2.157e+06,2.1275e+06,2.7203e+06,2.798e+06,2.8039e+06,2.841e+06
4,1300,2900,4800,8800,12700,13400,16800,15500,21100,28700,34200,40500,46500,52800,59600,68500,75400,83900,113000,101100,110000,119400,141500,141800,153300,173500,179000,189900,211200,161600,136400,257100,256400,280300,288100,294300,323100,349500,365900,374200,397300,422000,438300,458500,469300,498500,520300,538400,559000,583100,569100,636300,663600,675100,701000,733300,754300,773800,805000,825200,917600,1.047e+06,1.1894e+06,1.1917e+06,958700,987700,1.0122e+06,1.0428e+06,1.1292e+06,1.117e+06,1.1737e+06,1.4346e+06,1.4965e+06,1.7875e+06,1.7183e+06,1.7009e+06,1.7783e+06,1.7322e+06,1.8007e+06,1.9125e+06,2.0255e+06,1.8942e+06,1.9483e+06,1.9888e+06,2.2081e+06,2.0012e+06,1.8982e+06,1.8942e+06,2.3469e+06,2.0399e+06,2.268e+06,2.2814e+06,2.358e+06,2.3575e+06,2.4141e+06,2.633e+06,2.6755e+06,2.7488e+06,2.8139e+06,2.8983e+06
5,2500,5000,6500,12200,59500,24900,29400,38200,41500,53900,89000,75400,74000,95200,102500,122300,141200,180000,166700,180200,198000,235500,297500,262100,266000,429100,354000,372600,400700,463400,428800,436700,460900,465200,571300,502500,592600,863000,532400,658000,758300,624000,814300,809700,716200,1.1503e+06,873700,787800,939000,992800,1.131e+06,1.1466e+06,1.3025e+06,1.0403e+06,1.0846e+06,1.0692e+06,1.0977e+06,1.0968e+06,1.1357e+06,1.226e+06,1.3061e+06,1.2748e+06,1.2998e+06,1.277e+06,1.2961e+06,1.4512e+06,1.2863e+06,1.5079e+06,1.5412e+06,1.5436e+06,1.5313e+06,1.5737e+06,2.0065e+06,1.7536e+06,1.8418e+06,1.864e+06,1.8115e+06,1.7615e+06,2.0652e+06,2.0178e+06,2.1399e+06,2.2011e+06,2.5283e+06,2.2545e+06,2.3814e+06,2.4455e+06,2.4052e+06,2.5843e+06,3.0534e+06,2.7643e+06,2.5803e+06,2.1366e+06,1.9473e+06,1.9624e+06,2.2849e+06,1.8669e+06,3.9365e+06,3.6285e+06,3.1677e+06,3.1291e+06
6,1700,3600,4400,7000,9200,11600,15700,19200,23500,29100,35600,41100,47900,53500,61200,61800,74400,84400,94000,117700,110800,121700,132100,120900,153800,166700,187100,190000,204100,213300,229800,252800,259400,280200,288800,314800,322300,339000,346800,263700,409200,413000,448700,460300,481900,499100,520500,542200,563600,582400,605300,627300,655300,680200,698600,755100,742200,773000,809400,914500,1.1898e+06,1.1387e+06,1.2113e+06,1.2384e+06,1.2664e+06,1.2971e+06,1.3736e+06,1.1145e+06,1.098e+06,1.1306e+06,1.1591e+06,1.1773e+06,1.2096e+06,1.2693e+06,1.2751e+06,1.3073e+06,1.6197e+06,1.6673e+06,1.7603e+06,1.459e+06,1.4782e+06,1.5384e+06,1.5523e+06,1.5982e+06,1.8698e+06,2.1477e+06,2.1683e+06,2.2848e+06,2.3477e+06,2.3798e+06,2.4202e+06,2.3753e+06,2.452e+06,2.8079e+06,2.4213e+06,2.3553e+06,2.2543e+06,2.7873e+06,2.742e+06,2.7938e+06
7,1100,2900,4900,7700,9900,15300,21400,20300,24100,28800,34200,40400,54100,43500,55800,68400,74700,83200,83200,101500,110400,120300,141800,141800,153200,164200,184700,190000,209500,215900,228300,250900,258200,178300,302100,306900,331900,341100,358900,383800,348500,426500,441400,450000,469600,493000,516600,536400,562200,579300,603100,627700,449800,554300,677800,902100,1.9748e+06,699600,857000,902400,619200,817700,857900,1.1941e+06,1.2209e+06,912800,1.0024e+06,1.1973e+06,1.4253e+06,1.1919e+06,1.1259e+06,1.1883e+06,1.253e+06,1.1458e+06,1.2621e+06,1.2861e+06,1.0499e+06,1.9857e+06,1.3998e+06,1.8165e+06,1.1019e+06,1.9896e+06,2.3066e+06,2.8601e+06,2.9166e+06,2.896e+06,3.0579e+06,3.5183e+06,3.3496e+06,3.1266e+06,2.8631e+06,3.4262e+06,2.8946e+06,2.8892e+06,2.4368e+06,2.4776e+06,2.7375e+06,2.2723e+06,2.2726e+06,2.2898e+06
8,1000,4400,4400,7500,31500,12900,14300,18600,30500,60200,34000,45300,48700,53700,61100,67700,65200,77300,94100,111200,107000,157800,120100,130400,125300,133900,148000,196600,184500,246800,223600,225000,171200,278800,333100,225000,357600,272100,397500,395000,360400,449600,519000,405100,648700,380500,375900,368800,474600,693200,608400,763300,598700,771600,719600,839300,855100,868300,679600,903400,826200,896500,696100,756200,904400,898200,773500,1.0546e+06,795700,1.3046e+06,1.1424e+06,1.0107e+06,916300,897300,937500,1.2114e+06,1.0542e+06,1.2582e+06,1.1146e+06,1.9596e+06,1.7394e+06,1.1298e+06,1.1559e+06,1.2553e+06,1.4901e+06,1.5375e+06,1.3656e+06,1.9881e+06,1.7114e+06,1.8392e+06,1.3721e+06,1.4825e+06,1.503e+06,2.0513e+06,1.9754e+06,1.6457e+06,2.2564e+06,2.3806e+06,1.6276e+06,1.9271e+06
9,10200,1900,5300,5200,9700,10000,12100,14400,18500,22800,25000,29500,43500,43200,88600,40300,50000,53000,76800,62800,130600,83400,92900,99000,104600,431400,636800,154300,142800,150800,194200,213100,337000,393800,327500,287100,381900,309700,280100,300500,333200,285000,460300,422000,373700,388600,375500,368800,1.5635e+06,561200,615300,514900,463300,581700,829400,582300,590000,579900,547200,489900,854200,1.2844e+06,914400,791500,713600,839700,853000,883600,1.0644e+06,820900,991800,987900,1.0306e+06,1.3209e+06,1.3964e+06,1.2135e+06,1.2735e+06,1.4192e+06,1.2178e+06,1.3453e+06,1.0989e+06,1.2133e+06,1.2505e+06,1.6657e+06,1.7104e+06,1.3315e+06,1.6836e+06,1.8356e+06,1.4022e+06,1.4106e+06,2.146e+06,1.7016e+06,1.8387e+06,1.7721e+06,2.0175e+06,2.0343e+06,2.4912e+06,1.6739e+06,1.6541e+06,1.8059e+06
10,1500,1700,3300,5300,11800,9400,11500,14400,34300,21300,24300,43400,32400,46600,42700,58700,52300,73400,62900,746000,99700,95000,100800,92400,180000,122600,154900,138300,141400,162500,208600,160100,210500,222300,211600,231200,236500,226300,252400,274600,312800,263300,272000,356400,407800,375700,573000,513100,474800,503900,610600,464400,493700,449100,533800,470100,628600,595600,861100,608400,768500,1.0283e+06,755800,728200,737700,768000,743300,789100,753000,984900,1.0234e+06,884600,971800,1.2927e+06,1.1851e+06,1.2409e+06,1.0239e+06,1.2584e+06,1.1839e+06,1.2764e+06,1.3693e+06,2.2564e+06,1.2784e+06,1.8398e+06,1.8918e+06,1.4195e+06,1.4498e+06,1.6112e+06,1.9888e+06,1.4386e+06,2.186e+06,2.2418e+06,1.9498e+06,2.1759e+06,1.9218e+06,2.0999e+06,2.287e+06,2.1361e+06,2.1883e+06,2.2333e+06
