Iteraciones,Tamano10,Tamano20,Tamano30,Tamano40,Tamano50,Tamano60,Tamano70,Tamano80,Tamano90,Tamano100,Tamano110,Tamano120,Tamano130,Tamano140,Tamano150,Tamano160,Tamano170,Tamano180,Tamano190,Tamano200,Tamano210,Tamano220,Tamano230,Tamano240,Tamano250,Tamano260,Tamano270,Tamano280,Tamano290,Tamano300,Tamano310,Tamano320,Tamano330,Tamano340,Tamano350,Tamano360,Tamano370,Tamano380,Tamano390,Tamano400,Tamano410,Tamano420,Tamano430,Tamano440,Tamano450,Tamano460,Tamano470,Tamano480,Tamano490,Tamano500,Tamano510,Tamano520,Tamano530,Tamano540,Tamano550,Tamano560,Tamano570,Tamano580,Tamano590,Tamano600,Tamano610,Tamano620,Tamano630,Tamano640,Tamano650,Tamano660,Tamano670,Tamano680,Tamano690,Tamano700,Tamano710,Tamano720,Tamano730,Tamano740,Tamano750,Tamano760,Tamano770,Tamano780,Tamano790,Tamano800,Tamano810,Tamano820,Tamano830,Tamano840,Tamano850,Tamano860,Tamano870,Tamano880,Tamano890,Tamano900,Tamano910,Tamano920,Tamano930,Tamano940,Tamano950,Tamano960,Tamano970,Tamano980,Tamano990,Tamano1000
1,5600,8300,10600,11800,32000,25000,34000,26700,40300,29500,41000,81900,79000,42600,58400,427700,76900,73000,74400,102000,132400,120400,99300,72300,92600,115800,83400,73300,85100,71900,71700,110100,115100,129800,138500,135600,128900,142100,161200,146000,172400,164200,261800,205700,191600,240700,210300,242000,156200,288100,261600,229000,213300,229900,330900,338300,200600,206500,220700,239300,286300,255700,371200,292800,232500,273100,279100,252900,311500,374700,319900,462100,343100,484500,465800,476900,457600,324100,399400,311800,356600,328300,537400,552600,541100,355900,524500,534000,530100,568600,608600,418700,389000,396900,369900,329800,586000,620000,626400,611900
2,5800,23000,17000,19300,32700,34500,35200,41500,58200,34600,66800,68500,105900,101200,97400,104400,104800,125900,105800,98700,105900,104300,89400,100000,162500,194600,106000,113200,111300,122200,186900,188700,197900,203300,216500,148700,142900,138900,140300,145200,142800,158900,146100,135700,157200,165600,200500,223800,295000,204200,423900,222800,580600,245500,188400,189100,216800,240700,232000,238100,266000,371000,382600,402400,377400,383900,390300,414800,507200,443800,284300,251900,261300,280300,311800,308600,436600,452300,425300,487800,503200,507300,526300,507800,477000,366300,400300,433100,405600,547700,564200,611000,606400,785200,594500,602000,483700,349700,423500,294400
3,3700,6600,10000,13900,22400,45300,44400,50100,63000,24900,46100,43500,54400,56700,53800,69900,111400,112800,114900,71900,82400,123900,142900,84300,90300,123900,116500,134400,180500,162100,109100,127800,132400,242600,216000,159500,149100,200600,233300,244700,243400,184800,186800,196200,181200,222600,203000,319400,302100,218400,215100,285700,174800,279300,191300,188200,216100,214500,272400,347700,281900,234200,260000,289200,236400,271500,247300,260800,348500,271300,401900,323400,430700,473400,470200,331200,336100,321800,393900,471400,464700,435700,552600,483300,540700,533100,537700,533600,550500,552900,326100,376100,405800,366100,372500,407700,413500,519600,586600,397400
4,8400,17500,27100,22100,46500,41700,28000,34200,64000,42300,35900,42500,49700,50500,60100,107200,91100,77900,74300,69700,74100,78300,90300,63500,107600,165500,159900,128600,123900,236300,199900,183800,185900,152300,164100,177900,103100,232400,209200,136400,162400,280900,266200,161400,195700,269900,278500,281200,287000,285400,333600,333900,324300,336600,319000,260100,139800,218300,360000,366600,367500,371900,258000,361000,172800,276900,250300,291500,261100,434500,264600,267500,264900,289400,279600,194800,286800,277200,311600,309200,293600,375900,462600,495600,292600,323100,330800,546700,519400,548100,543600,555300,360700,575900,603300,499700,415800,499700,288600,625200
5,5400,10800,17600,21200,23800,21800,19400,48700,34400,49800,39500,42100,112200,55000,71200,46600,103800,120600,132200,65700,81200,72800,80400,133300,144900,167500,153900,171100,171100,200400,164200,200400,224000,202900,124900,137900,240000,182900,130900,154500,164000,255100,129100,254400,157600,116100,291600,277900,282700,204300,345300,454700,406300,180400,217300,308800,164700,307000,272600,369000,235100,371500,289800,410600,386000,438700,465500,313800,356700,315300,269600,329000,378000,311600,470100,460200,468400,448600,498500,505100,432800,456300,331100,343100,521700,524600,520000,572000,373600,245700,632000,822400,495500,586300,535000,583900,393100,628200,599100,474300
6,3900,6800,17300,16500,19700,25500,26700,41300,40000,38300,57800,56700,51200,44900,41600,57000,50000,82200,72600,62700,74200,76200,101800,95000,95800,121100,92600,114300,98600,135800,121500,127100,85900,158700,89600,225600,155200,165400,130700,124900,148100,160700,157400,151800,291900,259900,274300,290900,278800,306300,323100,356800,295200,358300,253600,273200,344800,349400,355100,283300,387400,376300,376200,383700,386900,401500,374900,394900,419700,283500,328800,319800,289200,247400,275900,278700,278300,329900,377100,318100,308800,313300,319300,320100,328700,332900,319200,355200,582500,419200,386300,427000,369100,524600,583100,589500,581300,620700,626000,600300
7,18400,11300,18900,36300,31600,39100,38000,70400,43000,44100,39700,48800,58300,66200,69600,70500,78700,71800,79800,68800,86500,124100,143100,128000,138100,180800,161500,175300,179300,132800,102500,105900,106400,132100,179900,195200,197300,158700,138900,144700,168100,259300,167200,161800,155100,180600,167900,162000,180700,178000,220800,229100,163300,202700,193900,250300,236100,271300,297700,264500,355000,231800,178400,269200,242100,292800,296900,259600,280100,265700,299400,321300,294900,304600,302000,316600,359800,296100,340000,373700,378400,430500,417500,568900,522500,516600,512000,535800,259200,349400,320700,367600,583300,544400,575500,294800,454000,413600,387200,376500
8,3500,8400,7800,22300,26700,26100,34400,49700,59000,41700,57200,48700,54900,85100,86000,111500,104600,85000,85100,90400,91800,97600,107700,132600,138700,175400,145500,163500,126800,131800,112100,160300,123600,125900,135900,131700,135200,152000,191800,151700,172000,176000,170900,284700,173300,201500,197700,289000,286900,330400,212300,229500,215200,235600,195800,215800,207700,215100,219800,226600,235000,218000,239100,239600,298100,293600,400400,384700,422200,427900,447600,465500,219100,449200,446300,298400,350500,345300,364700,380500,322400,472500,371700,408300,494200,415800,358600,375700,335600,328400,341900,369100,581100,349700,564400,622600,572900,455700,334200,400500
9,3400,6700,9900,19200,17000,41000,40000,51200,59000,72500,60700,72200,91400,95100,112800,45200,58400,67600,92600,66200,76400,75400,78900,135100,124400,145700,90800,92400,111400,109700,108100,109400,121700,119800,125200,143200,123900,137200,148300,143600,146700,175300,261200,175600,188400,166400,182300,205800,260800,182500,218500,215600,219400,203400,217000,210000,205100,220000,223000,257800,240800,225900,249100,270900,390400,394900,196700,250400,441600,270500,297500,284400,422800,410300,280000,292700,281200,305900,287600,306400,303100,301300,324600,317800,323900,346300,358200,380000,526500,545900,542900,545300,551000,556000,555400,569100,562600,594100,610200,595300
10,7500,7100,13600,15800,21700,34500,26500,40400,60500,68200,45000,53100,63300,71400,50900,66200,76300,83300,83300,76700,156000,90800,119300,122500,102700,195000,125800,129300,118700,133400,135900,129500,126100,140400,136200,165900,139300,142700,133600,149300,154900,156500,158100,160100,162200,151200,177700,301100,308100,296900,322600,337600,348300,309700,348400,212100,219500,216800,235300,398300,379600,349700,364700,244100,352500,270900,325900,242500,300300,271900,277400,277000,280500,283100,278800,295400,281600,301800,293700,315800,324500,389300,329400,516500,409500,519400,517800,532900,548000,543100,545600,380100,352900,358900,369600,605200,500000,435700,362700,445500
11,40800,17400,18400,32400,38800,34400,48600,53200,59600,55900,66100,77000,83700,85300,95000,96700,57700,117100,124700,115400,69900,93100,72200,97700,93100,111300,94700,104100,100600,117900,111800,113700,124000,122200,123500,134900,138800,139600,135500,157600,144500,345200,155800,194600,155600,157100,365700,197300,192400,164100,265300,156700,333900,311200,259300,234700,348200,347500,356600,314600,363800,239800,278600,264600,208800,265500,279600,342500,288700,327700,267300,431400,426700,471200,462200,464000,508000,502000,463300,458000,660800,303400,291900,411800,352000,415500,386900,356800,339700,346400,343200,352300,581300,568100,576900,576300,572800,957300,356700,364700
12,5100,8400,19500,15300,10700,25600,22800,37300,47300,40300,42000,46400,58500,63700,52200,63200,62900,72400,64700,61600,76800,101800,88700,76800,88200,113200,87100,101200,99800,128700,81800,106600,111800,125800,123900,118500,128800,136700,129300,154700,160300,160800,158300,276700,258700,188300,133200,206200,212800,211600,234300,242300,269100,250200,211200,218900,206000,249500,218700,208400,237200,233900,240900,242900,233500,254000,240000,253300,262600,341500,221600,381300,447400,485900,282400,479000,455200,468800,466700,484500,491500,508900,482600,493300,524400,308500,346700,286200,328700,562200,552300,373100,371400,363100,354300,388300,377100,372700,379100,379500
13,8900,7700,12900,12900,21000,24600,53100,37200,54200,39200,42400,39700,43000,67500,59100,62600,65100,75200,70300,64800,49800,87400,62400,90600,88600,116200,131000,202100,153900,114500,144100,122500,121500,160500,107800,170400,177300,140800,135800,151500,145400,173100,176000,152600,174700,166200,185000,287600,307300,180400,222100,213200,211500,218400,192900,235700,287800,234000,222200,246900,218000,208200,220600,246900,238900,236300,246100,279700,415400,277000,296500,428500,316000,317300,303700,338200,343500,207500,198200,296000,301200,286300,328000,311700,230100,294200,322100,338300,305000,557200,553700,325800,689800,380700,235600,582800,370600,378100,383800,379600
14,4500,7500,13700,13500,24200,22200,24700,48400,42600,31500,38900,46200,66000,63000,58600,78100,78500,72600,79200,74200,87300,76700,82300,83600,94300,129900,98800,174900,167400,190300,180500,178700,194900,210700,90900,166500,130900,141800,113200,165000,136100,172600,174900,154600,197400,169600,192600,175900,157700,278300,326300,341100,328800,317000,313200,346000,337400,346800,263100,275100,226100,237200,249700,253400,234800,247600,240700,255600,329300,365500,298500,311300,273400,302400,277900,266000,232200,295400,428800,487600,476600,515600,523500,338300,313500,326000,325700,385200,540200,538200,544800,388300,388500,542500,379700,496900,443300,477100,516200,464700
15,3300,6600,11700,18200,22700,18900,24500,49700,43300,50100,44900,85300,51800,55100,52200,64800,78600,83300,108500,75500,78900,72700,118500,115100,133000,133700,114600,123300,144700,127300,146300,138600,182800,133000,136300,145000,113100,179900,154300,149600,167400,209100,185400,246900,162400,175100,208800,198700,212900,231100,211400,275800,229900,206300,228700,205500,255700,239500,236200,219200,182500,227800,231000,247900,228300,271100,295700,408300,321700,352000,448900,275800,341900,278800,268000,314600,309700,370500,268600,497500,494900,499000,320800,451500,387400,389900,539700,407300,356800,350400,422700,347500,366500,346100,256700,281200,362100,381700,484400,450400
16,4100,11500,12000,13000,36200,34000,34200,71600,39700,68300,43300,65700,80800,87100,92500,90800,98600,109000,65200,70600,95600,121600,72700,79300,152000,116300,95600,121300,143300,154600,143400,159900,74000,175300,130400,91800,132400,153400,137900,152100,150800,153600,175800,140400,170200,215000,279600,189700,185300,290500,269000,332600,237500,192000,283200,274300,291100,222000,218600,231500,326400,223100,379100,287800,273600,264500,414300,296000,352200,265400,317200,286000,307500,305700,272500,303600,270300,271000,297600,289500,315400,328600,314700,327300,352500,373200,347300,556000,527900,400900,532700,567500,563000,476700,573600,599300,595400,597200,373700,535600
17,6300,5000,14900,29300,28100,26100,23200,48600,47300,71300,45100,49200,78500,90600,90400,105100,102000,98500,110600,106000,126900,103000,115200,97100,77100,134900,119100,124700,119500,132200,101800,161700,195200,219600,190500,220700,214900,220800,216900,242800,252000,244800,160000,283100,189900,190900,163400,215900,199700,183900,272800,300500,228100,214000,239000,249000,203100,229600,220000,235000,225200,230900,312400,249900,263100,398700,300900,286200,324000,259100,436100,433800,442800,449200,450900,470600,436700,446900,471700,316800,369800,392900,507600,320300,549600,340100,361400,331100,352800,411100,414100,393200,343100,356100,361000,382400,422200,398300,402400,388500
